,Unnamed: 0,name,ingredients,prep_time,instructions,difficulty,category,rating
25,25.0,Peanut Butter Banana Toast,"2 slices bread, 2 tbsp peanut butter, 1 banana, 1 tsp honey, 0.5 tsp cinnamon",5,"Toast bread. Spread peanut butter. Add banana slices, honey, and cinnamon.",Easy,Snack,4
26,26.0,Fruit Salad,"1 apple, 1 banana, 0.5 cup grapes, 0.5 cup strawberries, 1 tbsp orange juice, 1 tsp honey",10,Chop the fruits. Mix with orange juice and honey. Serve chilled.,Easy,Snack,4
27,27.0,Garlic Bread,"1 baguette, 3 tbsp butter, 2 cloves garlic, 1 tbsp parsley, 0.25 cup mozzarella",12,"Mix butter, garlic, and parsley. Spread on sliced baguette. Add mozzarella and bake until crispy.",Easy,Snack,5
28,28.0,Chocolate Mug Cake,"4 tbsp flour, 2 tbsp cocoa powder, 2 tbsp sugar, 3 tbsp milk, 1 tbsp oil, 0.25 tsp baking powder",5,Mix all ingredients in a mug. Microwave for 1 to 2 minutes until cooked. Let it cool slightly before eating.,Easy,Dessert,5
29,29.0,Apple Cinnamon Oats,"0.5 cup oats, 1 cup milk, 1 apple, 1 tsp cinnamon, 1 tbsp honey, 1 tbsp nuts",10,Cook oats with milk. Add chopped apple and cinnamon. Top with honey and nuts.,Easy,Breakfast,4
30,30.0,Grilled Cheese Sandwich,"2 slices bread, 2 cheese slices, 1 tbsp butter, 0.25 tsp garlic powder",8,Butter the bread and add cheese between slices. Cook in a pan until golden and melted.,Easy,Lunch,5
31,31.0,Tomato Pasta,"200g pasta, 1 cup tomato sauce, 2 cloves garlic, 1 tbsp olive oil, 0.25 cup parmesan, basil",20,Boil pasta. Cook garlic in olive oil. Add tomato sauce and simmer. Toss pasta with sauce and top with parmesan.,Easy,Dinner,4
32,32.0,Chicken Fajitas,"250g chicken breast, 1 bell pepper, 1 onion, 2 tortillas, 1 tbsp fajita seasoning, 1 tbsp oil",25,Slice chicken and vegetables. Cook with oil and fajita seasoning until done. Serve in warm tortillas.,Medium,Dinner,5
33,33.0,Rice Bowl with Chicken,"1 cup cooked rice, 200g chicken breast, 0.5 cup cucumber, 0.5 cup carrot, 2 tbsp yogurt sauce, salt, black pepper",25,"Season and cook chicken. Add rice to a bowl. Top with vegetables, chicken, and yogurt sauce.",Easy,Dinner,4
34,34.0,Mushroom Risotto,"1 cup arborio rice, 1 cup mushrooms, 0.5 onion, 3 cups chicken stock, 0.25 cup parmesan, 1 tbsp butter",40,Cook onion and mushrooms in butter. Add rice and stock slowly while stirring. Cook until creamy and finish with parmesan.,Hard,Dinner,5
35,35.0,Chicken Shawarma Bowl,"200g chicken breast, 1 cup rice, 0.5 cucumber, 0.5 tomato, 2 tbsp garlic sauce, 1 tsp shawarma spice",30,"Season chicken with shawarma spice and cook until done. Serve over rice with cucumber, tomato, and garlic sauce.",Medium,Dinner,5
36,36.0,Hummus Plate,"1 cup hummus, 1 pita bread, 0.5 cucumber, 0.5 tomato, 1 tbsp olive oil, paprika",8,"Spread hummus on a plate. Add cucumber, tomato, olive oil, and paprika. Serve with pita bread.",Easy,Snack,4
37,37.0,Pesto Pasta,"200g pasta, 0.25 cup pesto, 0.25 cup parmesan, 1 tbsp olive oil, 0.5 cup cherry tomatoes",15,"Boil pasta. Toss with pesto, olive oil, parmesan, and cherry tomatoes. Serve warm.",Easy,Dinner,4
38,38.0,Chicken Teriyaki,"250g chicken breast, 3 tbsp teriyaki sauce, 1 cup rice, 0.5 cup broccoli, 1 tsp sesame seeds",25,"Cook chicken until browned. Add teriyaki sauce and simmer. Serve with rice, broccoli, and sesame seeds.",Medium,Dinner,5
39,39.0,Berry Smoothie,"1 cup mixed berries, 1 banana, 1 cup milk, 0.5 cup yogurt, 1 tsp honey",5,"Blend berries, banana, milk, yogurt, and honey until smooth. Serve cold.",Easy,Snack,4
40,40.0,Baked Potato,"1 large potato, 0.25 cup cheese, 2 tbsp sour cream, 1 tbsp butter, salt, black pepper, spring onion",45,"Bake potato until soft. Cut open and add butter, cheese, sour cream, salt, pepper, and spring onion.",Easy,Dinner,4
41,0.0, Mandi,"Rice , Water , Fish",40,Cook Rice . cook fish,Hard,Breakfast,5
0,,Noofles,"Noodles , splices , water",5,Put spices and noodles in your boiling water for 3 minutes,Easy,Dinner,3
